episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map1440510675-target48647418-obs1735039633-g20-T2,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,20,2,25,10,12,True,24,24.0,0,0,8872.9178,9,8,4.123105625617661
map1440510675-target48647418-obs1735039633-g20-T3,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,20,3,125,10,12,True,15,15.0,0,0,8885.1641,9,7,5.0990195135927845
map955728254-target1111885934-obs737168579-g2-T1,6,955728254,1111885934,737168579,1155699143,2,18,7.0,2,1,5,10,14,False,50,150.0,0,0,296.40779999999995,13,5,9.486832980505138
map955728254-target1111885934-obs737168579-g2-T2,6,955728254,1111885934,737168579,1155699143,2,18,7.0,2,2,25,10,14,False,50,150.0,0,0,676.7139000000001,13,5,9.486832980505138
map955728254-target1111885934-obs737168579-g2-T3,6,955728254,1111885934,737168579,1155699143,2,18,7.0,2,3,125,10,14,False,50,150.0,0,0,5251.4156,13,5,9.486832980505138
map955728254-target1111885934-obs737168579-g5-T1,6,955728254,1111885934,737168579,1155699143,2,18,7.0,5,1,5,10,14,True,24,24.0,0,0,371.84150000000005,9,8,6.082762530298219
map955728254-target1111885934-obs737168579-g5-T2,6,955728254,1111885934,737168579,1155699143,2,18,7.0,5,2,25,10,14,True,25,25.0,0,0,532.0497999999999,10,8,6.0
map955728254-target1111885934-obs737168579-g5-T3,6,955728254,1111885934,737168579,1155699143,2,18,7.0,5,3,125,10,14,True,26,26.0,0,0,17573.925099999997,10,9,5.0
map955728254-target1111885934-obs737168579-g10-T1,6,955728254,1111885934,737168579,1155699143,2,18,7.0,10,1,5,10,14,True,24,24.0,0,0,1372.8687999999997,8,9,5.385164807134504
map955728254-target1111885934-obs737168579-g10-T2,6,955728254,1111885934,737168579,1155699143,2,18,7.0,10,2,25,10,14,True,24,24.0,0,0,1718.5790000000002,8,9,5.385164807134504
map955728254-target1111885934-obs737168579-g10-T3,6,955728254,1111885934,737168579,1155699143,2,18,7.0,10,3,125,10,14,True,24,24.0,0,0,21655.454200000004,8,9,5.385164807134504
map955728254-target1111885934-obs737168579-g20-T1,6,955728254,1111885934,737168579,1155699143,2,18,7.0,20,1,5,10,14,True,24,24.0,0,0,6377.9208,8,9,5.385164807134504
map955728254-target1111885934-obs737168579-g20-T2,6,955728254,1111885934,737168579,1155699143,2,18,7.0,20,2,25,10,14,True,24,24.0,0,0,9148.089300000001,7,10,5.0
map955728254-target1111885934-obs737168579-g20-T3,6,955728254,1111885934,737168579,1155699143,2,18,7.0,20,3,125,10,14,True,24,24.0,0,0,13731.819399999998,7,10,5.0
map2029167940-target1469265225-obs1926751965-g2-T1,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,2,1,5,11,3,True,29,29.0,0,0,128.2879,8,5,3.605551275463989
